Code du Terme;Descripteur en majuscules;Descripteur en typo riche;Champ sémantique;Synonymes;Synonymes métier;TG (Terme Générique);TS (Termes Spécifiques);TA (Termes Associés);NE (Note d’Explication);NA (Note d’Application);Note de version;ex-synonyme V-1;Code arborescence
11560;SYNTHESE ORGANIQUE;Synthèse organique;115 CHIMIE;synthèse peptidique;;Chimie organique - 11561;;;;;;;C0A0A4A4
11531;CHIMIE VERTE;Chimie verte;115 CHIMIE;chimie durable###intensification des procédés;;Chimie - 11554;;;Chimie qui suit une charte de douze principes. Elle veille à l'équilibre économique, social et environnemental du milieu dans lequel elle s'insère.;;;;C0A0A5
11557;CONDUITE EQUIPEMENT INDUSTRIE CHIMIQUE PETROLIERE;Conduite équipement industrie chimique pétrolière;115 CHIMIE;CAFIC###CAIC###automatisation industrie chimique###conduite appareil fabrication industrie chimique###conduite appareil industrie chimique###réacteur chimique;;Chimie - 11554;;;;Pour la vérification et le contrôle des équipements, employer [[CONTRÔLE ÉQUIPEMENT INDUSTRIE CHIMIQUE PÉTROLIÈRE]] 11504.;;;C0A0A6
11504;CONTROLE EQUIPEMENT INDUSTRIE CHIMIQUE PETROLIERE;Contrôle équipement industrie chimique pétrolière;115 CHIMIE;analyse en ligne###analyseur industrie chimique###analyseur industriel###analyseur raffinerie###vérification équipement industrie chimique;;Chimie - 11554;;;;Employé pour les formations à la connaissance et à la vérification des équipements spécifiques aux industries chimiques et pétrolières.;;;C0A0A7
11592;CORROSION;Corrosion;115 CHIMIE;corrosion métallique###corrosion électrochimique métal;;Chimie - 11554;;Corrosion - 11592###Matériau métallique - 22834###Traitement surface - 23042;Altération d'un matériau par transformation chimique ou physico-chimique. La corrosion touche toutes sortes de matériaux (métaux principalement, mais aussi céramiques et polymères) dans des environnements variables (milieu aqueux, atmosphère, hautes températures).;Pour les formations aux techniques et procédés de protection contre la corrosion, employer [[TRAITEMENT SURFACE]] 23042 ou ses spécifiques.;;;C0A0A8
11511;FORMULATION MELANGE;Formulation mélange;115 CHIMIE;formulation chimique;;Chimie - 11554;;;;;;;C0A0A9
11534;GENIE CHIMIQUE;Génie chimique;115 CHIMIE;catalyse###chimie industrielle###chimie procédés###procédé chimique###réaction chimique###transfert matière;;Chimie - 11554;Chimie milieu colloïdal - 11536###Dépoussiérage - 11532###Procédé séchage - 11521###Procédé séparation purification - 11512;Génie chimique - 11534###Génie environnement - 12584###Génie procédés - 31608;Ensemble des connaissances et techniques qui ont pour objet les réactions chimiques industrielles.;Employé également pour les formations à l'étude des processus physiques de l'industrie chimique.;;;C0A0B0
11536;CHIMIE MILIEU COLLOIDAL;Chimie milieu colloïdal;115 CHIMIE;;;Génie chimique - 11534;Fluidisation - 11538###Granulation - 11528;Chimie milieu colloïdal - 11536###Métallurgie poudres - 23060;Un système colloïdal est un système très divisé de grains ou de gouttes.;Employé pour les formations aux systèmes/milieux colloïdaux : caractérisation, propriétés, mise en oeuvre.;;;C0A0B0A0
11538;FLUIDISATION;Fluidisation;115 CHIMIE;;;Chimie milieu colloïdal - 11536;;;Procédé de mise en suspension dense de particules dans un courant fluide ascendant pour améliorer la qualité des transferts.;;;;C0A0B0A0A0
11528;GRANULATION;Granulation;115 CHIMIE;;;Chimie milieu colloïdal - 11536;;;Agglomération en granules d'une poudre humide.;;;;C0A0B0A0A1
11532;DEPOUSSIERAGE;Dépoussiérage;115 CHIMIE;;;Génie chimique - 11534;;Dépoussiérage - 11532###Salle blanche - 22601;Activité qui consiste à éliminer les poussières et éviter des contaminations dans les produits finis.;;;;C0A0B0A1
11521;PROCEDE SECHAGE;Procédé séchage;115 CHIMIE;déshydratation;;Génie chimique - 11534;;;Traitement ayant pour but d'éliminer d'un corps, en totalité ou en partie, l'eau qui s'y trouve incorporée.;Pour les applications aux industries agroalimentaires, employer [[LYOPHILISATION]] 21593.;;;C0A0B0A2
11512;PROCEDE SEPARATION PURIFICATION;Procédé séparation purification;115 CHIMIE;centrifugation###décantation###extraction gaz liquide###extraction liquide liquide###extraction par solvant###extraction solide liquide###séparation chimique;;Génie chimique - 11534;Cristallisation précipitation - 11501###Distillation industrielle - 11503###Filtration - 11510;;Opération d'extraction visant à isoler un ou plusieurs constituants d'un mélange homogène ou hétérogène.;;;;C0A0B0A3
11501;CRISTALLISATION PRECIPITATION;Cristallisation précipitation;115 CHIMIE;;;Procédé séparation purification - 11512;;;Cristallisation : séparation d'un mélange de corps en solution grâce à leur différence de solubilité. Précipitation : action chimique par laquelle un corps en solution se sépare de son solvant et se dépose au fond.;;;;C0A0B0A3A0
11503;DISTILLATION INDUSTRIELLE;Distillation industrielle;115 CHIMIE;;;Procédé séparation purification - 11512;;Distillation industrielle - 11503###Spiritueux - 21501;Procédé de séparation des constituants d'un mélange par ébullition et condensation de la vapeur, utilisé notamment en parfumerie, pétrochimie, agroalimentaire.;;;;C0A0B0A3A1
11510;FILTRATION;Filtration;115 CHIMIE;microfiltration###séparation par membrane###ultrafiltration;;Procédé séparation purification - 11512;;;Séparation à l'aide d'un filtre d'une phase continue (liquide ou gazeuse) et d'une phase dispersée (solide ou liquide) initialement mélangées.;;;;C0A0B0A3A2
11502;METHODE PHYSICO-CHIMIQUE ANALYSE;Méthode physico-chimique analyse;115 CHIMIE;analyse physico-chimique###bioanalyse###densimétrie###génie analytique###mesure physico-chimique###mesure physique###méthode physique analyse chimique;;Chimie - 11554;Analyse chimique - 11523###Chromatographie - 11518###Dosage chimique - 11522###Méthodologie analytique chimique - 11514###Radioanalyse - 11524###Spectrométrie - 11509###Électrochimie analytique - 11508;Mesure électrique - 24024###Méthode physico-chimique analyse - 11502###Métrologie - 31371;Ensemble des méthodes de mesure et de caractérisation utilisées en chimie et physico-chimie analytique (méthodes optiques, méthodes mettant en jeu une séparation, méthodes de nature électrochimique).;Employé pour les formations à un ensemble de méthodes ou à une méthode particulière pour laquelle il n'existe pas de descripteur spécifique.;;;C0A0B1
11523;ANALYSE CHIMIQUE;Analyse chimique;115 CHIMIE;analyse structurale###chimie analytique###laboratoire analyse chimique###titrimétrie;;Méthode physico-chimique analyse - 11502;;;Détermination qualitative et quantitative de la composition des substances chimiques tant organiques que minérales. Elle utilise des méthodes chimiques (dissolution, précipitation, réactions diverses, pesée, titrage...) et aussi des méthodes physiques (spectroscopie, chromatographie...).;;;;C0A0B1A0
11518;CHROMATOGRAPHIE;Chromatographie;115 CHIMIE;chromatographe###chromatographie fluide supercritique###microchromatographie###microchromatographie chirale###méthode SFC###technique séparative;chromatographiste;Méthode physico-chimique analyse - 11502;Chromatographie gazeuse - 11519###Chromatographie liquide - 11520;;Méthode analytique de séparation des constituants d'un mélange grâce à leur migration différentielle, en vue de leur identification et de leur dosage.;;;;C0A0B1A1
11519;CHROMATOGRAPHIE GAZEUSE;Chromatographie gazeuse;115 CHIMIE;CPG###chromatographie phase gazeuse###chromatographie phase vapeur;;Chromatographie - 11518;;;;;;;C0A0B1A1A0
11520;CHROMATOGRAPHIE LIQUIDE;Chromatographie liquide;115 CHIMIE;CLHP###FPLC###GPC###HPLC###chromatographie exclusion stérique###chromatographie phase liquide;;Chromatographie - 11518;;;;;;;C0A0B1A1A1
11522;DOSAGE CHIMIQUE;Dosage chimique;115 CHIMIE;dosage physico-chimique###fluorimétrie###gravimétrie;;Méthode physico-chimique analyse - 11502;;;Détermination de la quantité d'un constituant contenu dans une substance.;Pour les formations à la gravimétrie en tant que méthode géophysique, préférer [[GÉOPHYSIQUE]] 12233.;;;C0A0B1A2
11514;METHODOLOGIE ANALYTIQUE CHIMIQUE;Méthodologie analytique chimique;115 CHIMIE;;;Méthode physico-chimique analyse - 11502;Préparation échantillon - 11516###Échantillonnage chimie - 11506###Étalonnage chimie - 11515;;;;;;C0A0B1A3
11516;PREPARATION ECHANTILLON;Préparation échantillon;115 CHIMIE;;;Méthodologie analytique chimique - 11514;;;Le but de la préparation d'échantillons est d'extraire si possible tous les composés d’un ensemble avant de procéder à une analyse.;;;;C0A0B1A3A0
11506;ECHANTILLONNAGE CHIMIE;Échantillonnage chimie;115 CHIMIE;;;Méthodologie analytique chimique - 11514;;Contrôle statistique - 31427###Statistique - 11036###Échantillonnage chimie - 11506;Ensemble des procédés d'échantillonnage (prélèvement, collecte, préservation, etc.) précédant l'analyse chimique.;;;;C0A0B1A3A1
11515;ETALONNAGE CHIMIE;Étalonnage chimie;115 CHIMIE;;;Méthodologie analytique chimique - 11514;;;Ensemble des opérations établissant, dans des conditions spécifiées, la relation entre les valeurs de la grandeur indiquées par un appareil de mesure et les valeurs correspondantes de la grandeur réalisées par des étalons. L’étalon est une grandeur type qui sert à définir ou à matérialiser une unité de mesure et sert de référence.;;;;C0A0B1A3A2
11524;RADIOANALYSE;Radioanalyse;115 CHIMIE;;;Méthode physico-chimique analyse - 11502;;;"Technique d'analyse utilisant des éléments artificiellement modifiés, les radio-éléments, comme des ""marqueurs"". Ces radio-éléments sont plus rayonnants, donc plus faciles à identifier.";;;;C0A0B1A4
11509;SPECTROMETRIE;Spectrométrie;115 CHIMIE;absorptiométrie###analyse fluorescence###analyse spectrale###analyse spectrochimique###analyse spectrométrique###diffraction rayon###diffraction électronique###fluorescence X###fluorescence moléculaire###luminescence###spectrochimie###spectrofluorimétrie###spectrographie###spectrométrie alpha###spectrométrie gamma###spectrométrie infrarouge###spectrométrie moléculaire###spectrométrie ultraviolet###spectrométrie visible###spectrophotométrie###spectroscopie###spectroscopie RAMAN;;Méthode physico-chimique analyse - 11502;Résonance magnétique - 11513###Spectrométrie atomique - 11526###Spectrométrie masse - 11525;;Ensemble des méthodes d'analyse spectrale permettant d'accéder à la composition et à la structure de la matière. La spectrométrie est fondée sur l'étude qualitative et quantitative des spectres (d'émission, d'absorption) mettant en jeu des rayonnements comme la lumière, les rayons X ou les électrons, ainsi que sur l'étude de la distribution de la masse ou de l'énergie.;;;;C0A0B1A5
11513;RESONANCE MAGNETIQUE;Résonance magnétique;115 CHIMIE;IRM###RMN###imagerie par résonance magnétique###résonance magnétique nucléaire;;Spectrométrie - 11509;;;Méthode de reconstitution des images, utilisant la propriété de certains noyaux atomiques s'orientant dans un champ magnétique.;"Employé pour les formations théoriques et pratiques à la RMN (résonance magnétique nucléaire). Pour l'IRM (Imagerie par Résonance Magnétique) ou la RMN appliquées au domaine médical, employer<a href=""https://centreinffo.mondeca.com/itm/SCF/?locale=fr#CenterTopicPlace:id=100580;"" target=""_blank"" id=""ext-gen331""> IMAGERIE MÉDICALE</a> 43061.";;;C0A0B1A5A0
11526;SPECTROMETRIE ATOMIQUE;Spectrométrie atomique;115 CHIMIE;spectrométrie absorption atomique###spectrométrie émission atomique;;Spectrométrie - 11509;;;;;;;C0A0B1A5A1
11525;SPECTROMETRIE MASSE;Spectrométrie masse;115 CHIMIE;;;Spectrométrie - 11509;;;Technique d’analyse reposant sur la séparation, l’identification et la quantification des éléments constitutifs d’un échantillon en fonction de leur masse.;;;;C0A0B1A5A2
11508;ELECTROCHIMIE ANALYTIQUE;Électrochimie analytique;115 CHIMIE;ampérométrie###conductimétrie###coulométrie###méthode électrochimique###oxydoréduction###polarographie###potentiométrie###titrage potentiométrique###voltampérométrie###électroargentimétrie###électrogravimétrie###électrophorèse;;Méthode physico-chimique analyse - 11502;;;;Employé pour les formations à tout ou partie des méthodes électrochimiques d'analyse.;;;C0A0B1A6
11541;PHARMACOLOGIE;Pharmacologie;115 CHIMIE;biopharmacie###biopharmacologie###conditionnement pharmaceutique###galénique###génie pharmaceutique###industrie pharmaceutique###ingénierie pharmaceutique###législation pharmaceutique###médicament###pharmacie industrielle###pharmacochimie###pharmacocinétique###pharmacotechnie###pharmacotoxicologie###pharmacovigilance###phytopharmacie###produit pharmaceutique###psychopharmacologie###recherche pharmaceutique;galéniste###pharmacien###pharmacienne###pharmacologue;Chimie - 11554;Ecopharmacovigilance - 11529###Essai pharmacologique - 11530;Pharmacie - 43026###Pharmacologie - 11541###Toxicologie - 43088###Visiteur médical - 34580;Science qui traite de la préparation, de l'emploi, de la posologie et de la conservation des médicaments.;Pour les formations à la distribution des médicaments, employer [[PHARMACIE]] 43026 ou [[VISITEUR MÉDICAL]] 34580 selon le public ou l'objectif visé.;;;C0A0B2
11529;ECOPHARMACOVIGILANCE;Ecopharmacovigilance;115 CHIMIE;;;Pharmacologie - 11541;;Ecopharmacovigilance - 11529###Protection milieu naturel - 12547;Étude des impacts sur l'environnement du rejet de molécules médicamenteuses.;;;;C0A0B2A0
11530;ESSAI PHARMACOLOGIQUE;Essai pharmacologique;115 CHIMIE;essai clinique médicament;;Pharmacologie - 11541;;;;Employé pour les formations à la conception, la réalisation ou au suivi des essais cliniques de médicaments.;;;C0A0B2A1
11547;QUALITE CHIMIE;Qualité chimie;115 CHIMIE;audit industrie chimique###contrôle industrie chimique###contrôle pharmaceutique###contrôle qualité médicament###qualité industrie chimique;;Chimie - 11554;;Audit qualité - 31459###Qualité chimie - 11547###Qualité matériau produit chimique - 22856###Qualité sécurité agroalimentaire - 21570;;Employé pour les formations à la qualité, l'assurance qualité ou le contrôle qualité, dans l'ensemble du secteur de la chimie.;;;C0A0B3
11567;SECURITE INDUSTRIE CHIMIQUE;Sécurité industrie chimique;115 CHIMIE;REACH###décontamination chimique###enregistrement évaluation autorisation substances chimiques###explosimétrie###prévention sécurité chimie###risque chimique###réglementation ATEX###sécurité chimique;;Chimie - 11554;Habilitation chimie - 11569###Sécurité industrie pétrochimique - 11559;Installation classée - 12509###Manutention matière dangereuse - 31771###Manutention produit chimique - 31770###Pollution sol - 12580###Produit chimique - 22867###Prévention sécurité - 42854###Risque industriel - 42884###Stockage matière dangereuse - 31703###Sécurité industrie chimique - 11567###Sécurité matériau produit chimique - 22865###Transport produit chimique - 31819;;Employé pour les formations à la sécurité dans les industries chimiques et à la prévention des risques liés aux installations et opérations du secteur de la chimie.;;;C0A0B4
11569;HABILITATION CHIMIE;Habilitation chimie;115 CHIMIE;;;Sécurité industrie chimique - 11567;;;Habilitation à la sécurité pour les personnes intervenant en industrie chimique ou pétrochimique.;;;;C0A0B4A0
11559;SECURITE INDUSTRIE PETROCHIMIQUE;Sécurité industrie pétrochimique;115 CHIMIE;prévention sécurité industrie pétrolière###prévention sécurité pétrochimie###risque industrie pétrolière###risque pétrochimie###sécurité industrie pétrolière;;Sécurité industrie chimique - 11567;;Installation classée - 12509###Prévention sécurité - 42854###Sécurité industrie pétrochimique - 11559###Sécurité matériau produit chimique - 22865;;Employé pour les formations à la prévention des risques et à la sécurité incendie dans les industries pétrolières et pétrochimiques.;;;C0A0B4A1
11054;MATHEMATIQUES;Mathématiques;110 MATHEMATIQUES;;mathématicien###mathématicienne;Sciences;Algorithme - 11014###Algèbre - 11076###Analyse mathématique - 11071###Calcul scientifique - 11025###Géométrie - 11067###Logique mathématique - 11058###Mathématiques appliquées - 11052###Mathématiques décision - 11033###Mathématiques mise à niveau - 11083###Modèle mathématique - 11031###Statistique - 11036;Mathématiques - 11054###Mécanique théorique - 23554;Science qui étudie les propriétés de certains objets abstraits (nombres, figures géométriques, etc.) et les relations qui peuvent exister entre ces objets.;;;;C0A1
11014;ALGORITHME;Algorithme;110 MATHEMATIQUES;;;Mathématiques - 11054;;Algorithme - 11014###Calcul structure - 23567###Développement informatique - 31067###Programmation informatique industrielle - 24491;Suite finie d'opérations élémentaires constituant un schéma de calcul ou de résolution d'un problème.;;;;C0A1A0
11076;ALGEBRE;Algèbre;110 MATHEMATIQUES;théorie ensembles;;Mathématiques - 11054;Algèbre boole - 11097###Algèbre linéaire - 11085;;Partie des mathématiques qui étudie les structures algébriques : résolution d'équations et étude des ensembles.;;;;C0A1A1
11097;ALGEBRE BOOLE;Algèbre boole;110 MATHEMATIQUES;fonction booléenne###opérateur booléen;;Algèbre - 11076;;;Algèbre décrivant des fonctions de variables susceptibles de prendre deux valeurs distinctes et seulement deux.;;;;C0A1A1A0
11085;ALGEBRE LINEAIRE;Algèbre linéaire;110 MATHEMATIQUES;calcul vectoriel;;Algèbre - 11076;Calcul matriciel - 11095###Calcul tensoriel - 11094;;Partie de l'algèbre liée à l'étude des espaces vectoriels et de leurs morphismes. L'algèbre linéaire permet d'étudier les systèmes d'équations linéaires.;;;;C0A1A1A1
11095;CALCUL MATRICIEL;Calcul matriciel;110 MATHEMATIQUES;algèbre matricielle###analyse numérique matricielle;;Algèbre linéaire - 11085;;Calcul matriciel - 11095###Calcul structure - 23567;Partie des mathématiques, aussi appelée analyse numérique matricielle, concernée par la résolution numérique des systèmes linéaires, le calcul des valeurs propres et des vecteurs propres des matrices.;;;;C0A1A1A1A0
11094;CALCUL TENSORIEL;Calcul tensoriel;110 MATHEMATIQUES;algèbre tensorielle;;Algèbre linéaire - 11085;;Analyse contraintes - 31383###Calcul tensoriel - 11094;Calcul sur l'ensemble des contraintes s'exerçant sur les différents éléments de surface passant par un point donné d'un solide. Employé surtout en analyse mécanique.;;;;C0A1A1A1A1
11071;ANALYSE MATHEMATIQUE;Analyse mathématique;110 MATHEMATIQUES;analyse fonctionnelle mathématique###topologie;;Mathématiques - 11054;Analyse numérique - 11082###Calcul différentiel - 11080###Calcul intégral - 11091;;Partie des mathématiques comprenant plusieurs théories dont le calcul infinitésimal (calcul différentiel et intégral), la théorie des fonctions, le calcul des variations.;;;;C0A1A2
11082;ANALYSE NUMERIQUE;Analyse numérique;110 MATHEMATIQUES;calcul numérique;;Analyse mathématique - 11071;;;Partie des mathématiques s'intéressant à l'obtention de solutions numériques, exactes ou approchées, de problèmes mathématiques.;;;;C0A1A2A0
11080;CALCUL DIFFERENTIEL;Calcul différentiel;110 MATHEMATIQUES;;;Analyse mathématique - 11071;;;Partie du calcul infinitésimal où l'on détermine les infiniment petits à partir des grandeurs fonctionnelles données.;;;;C0A1A2A1
11091;CALCUL INTEGRAL;Calcul intégral;110 MATHEMATIQUES;;;Analyse mathématique - 11071;;;Calcul par lequel on revient des différentielles aux fonctions qui leur ont donné naissance, ou aux grandeurs finies.;;;;C0A1A2A2
11025;CALCUL SCIENTIFIQUE;Calcul scientifique;110 MATHEMATIQUES;;;Mathématiques - 11054;;Calcul scientifique - 11025###Calcul structure - 23567;;Employé pour les formations au calcul complexe réalisé au moyen de l'informatique (comme, par exemple, le calcul de déformation de structure automobile).;;;C0A1A3
11067;GEOMETRIE;Géométrie;110 MATHEMATIQUES;goniométrie###géométrie descriptive###géométrie fractale;;Mathématiques - 11054;Trigonométrie - 11069;CAO - 31684###DAO - 31685###Géométrie - 11067###Topographie - 12225;Partie des mathématiques liée, à l'origine, à l'étude des formes et des figures de l'espace, de leurs relations entre elles et de leurs propriétés.;Pour les formations de géomètre, employer [[TOPOGRAPHIE]] 12225.;;;C0A1A4
11069;TRIGONOMETRIE;Trigonométrie;110 MATHEMATIQUES;;;Géométrie - 11067;;;Partie des mathématiques permettant de calculer les mesures des côtés d'un triangle ou de ses angles à partir de certaines d'entre elles.;;;;C0A1A4A0
11058;LOGIQUE MATHEMATIQUE;Logique mathématique;110 MATHEMATIQUES;;;Mathématiques - 11054;;;Science de la démonstration qui consiste en l'étude des rapports formels existant entre les propositions, indépendamment de toute interprétation.;;;;C0A1A5
11052;MATHEMATIQUES APPLIQUEES;Mathématiques appliquées;110 MATHEMATIQUES;biomathématiques###ingénierie mathématique###mathématiques ingénieur;;Mathématiques - 11054;Mathématiques financières - 11040###Mathématiques informatiques - 11050;;;Employé pour les mathématiques appliquées à l'art de l'ingénieur ou à un domaine particulier ne faisant pas l'objet d'un descripteur.;;;C0A1A6
11040;MATHEMATIQUES FINANCIERES;Mathématiques financières;110 MATHEMATIQUES;mathématiques commerciales;;Mathématiques appliquées - 11052;;Analyse financière - 32626###Mathématiques financières - 11040;Collection d'outils mathématiques fondés surtout sur la notion d'actualisation et servant à mesurer et à évaluer des flux de trésorerie échelonnés dans le temps.;Employé pour les formations au calcul appliqué aux opérations financières et comptables (calcul de taux d'intérêt, etc.).;;;C0A1A6A0
11050;MATHEMATIQUES INFORMATIQUES;Mathématiques informatiques;110 MATHEMATIQUES;;;Mathématiques appliquées - 11052;;;;Employé pour les formations portant sur les mathématiques utilisées en informatique et en électronique.;;;C0A1A6A1
11033;MATHEMATIQUES DECISION;Mathématiques décision;110 MATHEMATIQUES;;;Mathématiques - 11054;Recherche opérationnelle - 11022;Analyse de données - 31025###Mathématiques décision - 11033###Prise décision - 32023;Théorie mathématique visant à élaborer des décisions en tenant compte de critères multiples.;;;;C0A1A7
11022;RECHERCHE OPERATIONNELLE;Recherche opérationnelle;110 MATHEMATIQUES;;;Mathématiques décision - 11033;Programmation linéaire - 11002###Théorie graphes - 11001;;Techniques rationnelles d'analyse et de résolution de problèmes visant à préparer scientifiquement les meilleures décisions possibles, tout en respectant les contraintes inhérentes à ces problèmes.;;;;C0A1A7A0
11002;PROGRAMMATION LINEAIRE;Programmation linéaire;110 MATHEMATIQUES;;;Recherche opérationnelle - 11022;;;Ensemble des problèmes de recherche opérationnelle où l'on optimise un critère représenté par une fonction linéaire des variables de décision, sous des contraintes exprimées par des équations linéaires.;;;;C0A1A7A0A0
11001;THEORIE GRAPHES;Théorie graphes;110 MATHEMATIQUES;;;Recherche opérationnelle - 11022;;PERT - 31672###Théorie graphes - 11001;Partie des mathématiques permettant de résoudre des problèmes par leur représentation graphique.;;;;C0A1A7A0A1
11083;MATHEMATIQUES MISE A NIVEAU;Mathématiques mise à niveau;110 MATHEMATIQUES;;;Mathématiques - 11054;;Calcul mise à niveau - 15030###Mathématiques mise à niveau - 11083;;Employé pour les formations d'actualisation des connaissances consacrées uniquement aux mathématiques, à l'exception des formations consacrées aux 4 opérations de base pour lesquelles employer [[CALCUL MISE À NIVEAU]] 15030.;;;C0A1A8
11031;MODELE MATHEMATIQUE;Modèle mathématique;110 MATHEMATIQUES;modélisation mathématique;;Mathématiques - 11054;Modèle simulation - 11020;;Modèle dans lequel les relations entre les paramètres caractéristiques sont exprimées sous forme mathématique.;;;;C0A1A9
11020;MODELE SIMULATION;Modèle simulation;110 MATHEMATIQUES;modélisation simulation;;Modèle mathématique - 11031;;Modèle simulation - 11020###Simulation numérique - 31059;Outil d'étude des comportements d'un processus, fondé sur l'observation de la variation des paramètres, des variables de commande et des grandeurs perturbatrices.;;;;C0A1A9A0
11036;STATISTIQUE;Statistique;110 MATHEMATIQUES;;statisticien###statisticienne;Mathématiques - 11054;Représentation graphique statistique - 11018###Sondage - 11029###Statistique appliquée - 11017###Statistique descriptive - 11045###Série temporelle - 11037###Théorie probabilités - 11038;Analyse économique - 13138###Contrôle statistique - 31427###Démographie - 14258###Planification - 13049###Statistique - 11036###Échantillonnage chimie - 11506;Méthodes de collecte, traitement et interprétation de données d'observation relatives à un groupe d'individus ou d'unités.;Pour l'application de la statistique au contrôle de la qualité, employer [[CONTRÔLE STATISTIQUE]] 31427.;;;C0A1B0
11018;REPRESENTATION GRAPHIQUE STATISTIQUE;Représentation graphique statistique;110 MATHEMATIQUES;cartographie données###diagramme###histogramme###sparkline;;Statistique - 11036;;Data visualisation - 31035###Outil qualité - 31437###Représentation graphique statistique - 11018;Représentation de données par une construction graphique (diagramme, réseau, carte, etc.).;;;;C0A1B0A0
11029;SONDAGE;Sondage;110 MATHEMATIQUES;enquête###méthodologie enquête;enquêteur sondeur###enquêtrice sondeuse;Statistique - 11036;;Sondage - 11029###Étude marché - 34060;Recueil d'informations sur un échantillon représentatif d'un ensemble plus important, visant à estimer certaines caractéristiques de cet ensemble.;Employé également pour les formations à la méthodologie d'enquête.;;;C0A1B0A1
11017;STATISTIQUE APPLIQUEE;Statistique appliquée;110 MATHEMATIQUES;analyse survie###biométrie###biostatique###biostatistique###géostatistique###méthode Kaplan-Meier###statistique industrielle###statistique marketing;;Statistique - 11036;;Actuariat - 41079###Contrôle statistique - 31427###Statistique appliquée - 11017;;Employé pour les formations aux statistiques appliquées à un domaine particulier (statistique marketing, biostatistique) ne faisant pas l'objet d'un descripteur spécifique.;;;C0A1B0A2
11045;STATISTIQUE DESCRIPTIVE;Statistique descriptive;110 MATHEMATIQUES;indice statistique;;Statistique - 11036;Analyse factorielle - 11006;;Ensemble des méthodes conduisant à une description condensée d'un ensemble d'observations, indépendamment d'une référence explicite à un modèle statistique.;;;;C0A1B0A3
11006;ANALYSE FACTORIELLE;Analyse factorielle;110 MATHEMATIQUES;;;Statistique descriptive - 11045;;;Méthode statistique destinée à extraire les éléments principaux déterminant les variations d'une grandeur observable.;;;;C0A1B0A3A0
11037;SERIE TEMPORELLE;Série temporelle;110 MATHEMATIQUES;série chronologique;;Statistique - 11036;;;On obtient une série temporelle en mesurant une grandeur à intervalle régulier dans le temps. Pour faire des prévisions, on projette dans le temps cette série de mesures, ou données du passé, et l'on met en évidence les facteurs persistants ou saisonniers qui conditionnent l'évolution de la grandeur observée.;;;;C0A1B0A4
11038;THEORIE PROBABILITES;Théorie probabilités;110 MATHEMATIQUES;probabilités;;Statistique - 11036;Statistique inférentielle - 11057;;Étude du rapport du nombre des cas favorables à la réalisation d'un événement aléatoire au nombre total des cas possibles.;;;;C0A1B0A5
11057;STATISTIQUE INFERENTIELLE;Statistique inférentielle;110 MATHEMATIQUES;statistique décisionnelle###statistique déductive;;Théorie probabilités - 11038;Plan expérience - 11007;;Complémentaire de la statistique descriptive, la statistique inférentielle permet de formuler des hypothèses sur les paramètres d'une population, hypothèses qui sont ensuite testées sur la base d'observations faites sur un échantillon représentatif de cette population.;;;;C0A1B0A5A0
11007;PLAN EXPERIENCE;Plan expérience;110 MATHEMATIQUES;analyse variance###planification expérience;;Statistique inférentielle - 11057;;Méthode Taguchi - 31408###Plan expérience - 11007;Schéma présidant, dans une expérimentation, au recueil des données et tendant à permettre une analyse statistique subséquente de ces données.;;;;C0A1B0A5A0A0
23554;MECANIQUE THEORIQUE;Mécanique théorique;235 MECANIQUE THEORIQUE;cinématique###dynamique###génie mécanique###statique;;Sciences;Balistique - 23585###Mécanique fluide - 23542###Mécanique surface - 23583###Résistance matériau - 23546###Technique vide - 23534;Mathématiques - 11054###Mécanique construction réparation - 23654###Mécanique théorique - 23554###Physique - 11454###Transport - 31854;Étude des forces et des mouvements, traditionnellement divisée en trois grandes sections : la cinématique, la statique, la dynamique.;;;;C0A2
23585;BALISTIQUE;Balistique;235 MECANIQUE THEORIQUE;;balisticien###balisticienne;Mécanique théorique - 23554;;Balistique - 23585###Criminologie - 14297;Étude des mouvements des corps lancés dans l'espace, et plus spécialement des projectiles de guerre, soit à l'intérieur d'une bouche à feu, soit à l'extérieur.;;;;C0A2A0
23542;MECANIQUE FLUIDE;Mécanique fluide;235 MECANIQUE THEORIQUE;cinématique fluide###cinématique milieu continu###dynamique fluide###statique fluide###écoulement fluide;;Mécanique théorique - 23554;Aéraulique - 23530###Aérodynamique - 23521###Hydraulique - 23551###Pneumatique - 23523;Fluide frigorigène - 22603###Mécanique fluide - 23542;Application des lois de la mécanique aux fluides, milieux continus déformables (liquide, gaz, plasma), étude de l'équilibre et du mouvement.;;;;C0A2A1
23530;AERAULIQUE;Aéraulique;235 MECANIQUE THEORIQUE;;aéraulicien###aéraulicienne;Mécanique fluide - 23542;;;Science qui étudie l'écoulement de l'air non comprimé dans les conduits (dépoussiérage, séchage, ventilation, conditionnement air).;;;;C0A2A1A0
23521;AERODYNAMIQUE;Aérodynamique;235 MECANIQUE THEORIQUE;;aérodynamicien###aérodynamicienne;Mécanique fluide - 23542;Mécanique vol - 23594;Aérodynamique - 23521###Construction automobile - 23646###Construction aéronautique - 23613###Construction aérospatiale - 23624;Science qui étudie les phénomènes accompagnant tout mouvement relatif entre un corps et l'air qui l'entoure.;;;;C0A2A1A1
